序号,key,中文位置,方位角az(度),仰角el(度),六向按钮,轮廓光吸附,备注
1,top,顶部极点,0,90,top,否,极点方位角固定为0
2,bottom,底部极点,0,-90,bottom,否,极点方位角固定为0
3,high-right,右·上,0,35,否,否,
4,right,右·中,0,0,right,否,
5,low-right,右·下,0,-35,否,否,
6,high-front-right,右前·上,45,35,否,否,
7,front-right,右前·中,45,0,否,否,
8,low-front-right,右前·下,45,-35,否,否,
9,high-front,前·上,90,35,否(默认主光),否,打开面板默认方向
10,front,前·中,90,0,front,否,
11,low-front,前·下,90,-35,否,否,
12,high-front-left,左前·上,135,35,否,否,伦勃朗光预设
13,front-left,左前·中,135,0,否,否,
14,low-front-left,左前·下,135,-35,否,否,
15,high-left,左·上,180,35,否,否,
16,left,左·中,180,0,left,否,
17,low-left,左·下,180,-35,否,否,
18,high-back-left,左后·上,-135,35,否,是,
19,back-left,左后·中,-135,0,否,是,
20,low-back-left,左后·下,-135,-35,否,是,
21,high-back,后·上,-90,35,否,是,
22,back,后·中,-90,0,back,是,蓝色逆光 low-back 为 el=-35
23,low-back,后·下,-90,-35,否,是,
24,high-back-right,右后·上,-45,35,否,是,
25,back-right,右后·中,-45,0,否,是,
26,low-back-right,右后·下,-45,-35,否,是,
,,,,,,,
网格说明,,,,,,,
纬线el,,,-35 / 0 / 35（另含顶90、底-90）,,,,
经线az,,,每45°：0 / 45 / 90 / 135 / 180 / -135 / -90 / -45,,,,
坐标约定,,,az：0右 90前 180左 -90后；el：正上负下,,,,
总交点数,,,26（3×8纬经交点 + 顶底极点）,,,,
轮廓光,,,背后9点（high/low-back-* 与 back-*）,,,,
代码真源,,,components/flow/image/utils/lightScene3dConstants.ts → LIGHT_SNAP_POINT_AZ_EL,,,,
